Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
COMMONWEALTH BANK OF AUSTRALIA.,CBA,Banks,Banks,172.8,289.17,1.673
BHP GROUP LIMITED,BHP,Materials,Chemicals; Construction Materials; Metals & Mining,51.23,260.32,5.081
WESTPAC BANKING CORPORATION,WBC,Banks,Banks,39.85,136.3,3.42
NATIONAL AUSTRALIA BANK LIMITED,NAB,Banks,Banks,41.8,128.23,3.068
ANZ GROUP HOLDINGS LIMITED,ANZ,Banks,Banks,36.63,110.41,3.014
WESFARMERS LIMITED,WES,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,73.34,83.21,1.135
MACQUARIE GROUP LIMITED,MQG,Financial Services,Diversified Financials; Capital Markets,205.59,78.36,0.381
CSL LIMITED,CSL,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,138.93,67.43,0.485
TELSTRA GROUP LIMITED,TLS,Telecommunication Services,Diversified Telecommunication Services,5.42,60.91,11.238
RIO TINTO LIMITED,RIO,Materials,Chemicals; Construction Materials; Metals & Mining,161.62,60.09,0.372
GOODMAN GROUP,GMG,Equity Real Estate Investment Trusts (REITs),Equity REITs,26.08,53.33,2.045
WOOLWORTHS GROUP LIMITED,WOW,Consumer Staples Distribution & Retail,Food & Staples Retailing,37.01,45.21,1.222
TRANSURBAN GROUP,TCL,Transportation,Air Freight & Logistics; Airlines; Road & Rail,13.86,43.25,3.12
QBE INSURANCE GROUP LIMITED,QBE,Insurance,Insurance,21.55,32.36,1.502
NORTHERN STAR RESOURCES LTD,NST,Materials,Chemicals; Construction Materials; Metals & Mining,21.91,31.36,1.431
BRAMBLES LIMITED,BXB,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,22.83,30.84,1.351
SIGMA HEALTHCARE LIMITED,SIG,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,2.66,30.71,11.545
COLES GROUP LIMITED.,COL,Consumer Staples Distribution & Retail,Food & Staples Retailing,22.62,30.38,1.343
ARISTOCRAT LEISURE LIMITED,ALL,Consumer Services,"Hotels, Restaurants & Leisure",46.15,28.0,0.607
EVOLUTION MINING LIMITED,EVN,Materials,Chemicals; Construction Materials; Metals & Mining,13.02,26.44,2.031
SANTOS LIMITED,STO,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",8.08,26.24,3.248
ORIGIN ENERGY LIMITED,ORG,Utilities,Electric Utilities; Gas Utilities; Renewables,12.59,21.69,1.723
REA GROUP LTD,REA,Media & Entertainment,Media; Entertainment,154.41,20.37,0.132
SOUTH32 LIMITED,S32,Materials,Chemicals; Construction Materials; Metals & Mining,4.42,19.83,4.486
LYNAS RARE EARTHS LIMITED,LYC,Materials,Chemicals; Construction Materials; Metals & Mining,19.41,19.54,1.007
RESMED INC,RMD,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,32.21,18.49,0.574
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,30.28,17.78,0.587
SCENTRE GROUP,SCG,Equity Real Estate Investment Trusts (REITs),Equity REITs,3.37,17.6,5.223
INSURANCE AUSTRALIA GROUP LIMITED,IAG,Insurance,Insurance,7.28,17.22,2.365
SUNCORP GROUP LIMITED,SUN,Insurance,Insurance,15.8,17.11,1.083
1414 DEGREES LIMITED,14D,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
29METALS LIMITED,29M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
333D LIMITED,T3D,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
360 CAPITAL MORTGAGE REIT,TCF,Not Applic,Other/Not Applicable,,,
360 CAPITAL REIT,TOT,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
3D ENERGI LIMITED,TDO,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
3P LEARNING LIMITED..,3PL,Consumer Services,"Hotels, Restaurants & Leisure",,,
49 METALS LIMITED,49M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
4DMEDICAL LIMITED,4DX,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,
5E ADVANCED MATERIALS INC.,5EA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
5G NETWORKS LIMITED.,5GN,Software & Services,IT Services; Software,,,
"6K ADDITIVE, INC.",6KA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
88 ENERGY LIMITED,88E,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
8COMMON LIMITED,8CO,Software & Services,IT Services; Software,,,
8I HOLDINGS LTD,8IH,Financial Services,Diversified Financials; Capital Markets,,,
ABACUS GROUP,ABG,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
ABACUS STORAGE KING,ASK,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
ABX GROUP LIMITED,ABX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG,Consumer Services,"Hotels, Restaurants & Leisure",,,
ACCELERATE RESOURCES LIMITED,AX8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACCENT GROUP LIMITED,AX1,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
ACCENT RESOURCES NL,ACS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACDC METALS LTD,ADC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic,Other/Not Applicable,,,
ACROW LIMITED,ACF,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ACRUX LIMITED,ACR,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ACTINOGEN MEDICAL LIMITED,ACW,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ACTIVEPORT GROUP LTD,ATV,Software & Services,IT Services; Software,,,
ACTIVEX LIMITED,AIV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACUMENTIS GROUP LIMITED,ACU,Real Estate Management & Development,Real Estate Management & Development,,,
ACUSENSUS LIMITED.,ACE,Software & Services,IT Services; Software,,,
ADAIRS LIMITED,ADH,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
ADALTA LIMITED,1AD,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ADAVALE RESOURCES LIMITED,ADD,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ADELONG GOLD LIMITED,ADG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADHERIS HEALTH LIMITED,AHE,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ADHERIUM LIMITED,ADR,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ADISYN LTD,AI1,Software & Services,IT Services; Software,,,
ADMIRALTY RESOURCES NL.,ADY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADNEO LIMITED,AD1,Media & Entertainment,Media; Entertainment,,,
ADORE BEAUTY GROUP LIMITED,ABY,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
ADRAD HOLDINGS LIMITED,AHL,Automobiles & Components,Auto Components; Automobiles,,,
ADSLOT LTD.,ADS,Software & Services,IT Services; Software,,,
ADVANCE METALS LIMITED,AVM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADVANCE ZINCTEK LIMITED,ANO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADVANCED BRAKING TECHNOLOGY LTD,ABV,Automobiles & Components,Auto Components; Automobiles,,,
ADVANCED ENERGY MINERALS LTD,AEM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADVANCED INNERGY HOLDINGS LIMITED,AIH,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ADVERITAS LIMITED,AV1,Software & Services,IT Services; Software,,,
ADX ENERGY LTD,ADX,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
AEERIS LTD,AER,Media & Entertainment,Media; Entertainment,,,
AERIS ENVIRONMENTAL LTD,AEI,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
AERIS RESOURCES LIMITED,AIS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AEROMETREX LIMITED,AMX,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
AF LEGAL GROUP LTD,AFL,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
AFG 2023-1 TRUST IN RESPECT OF SERIES 2023-1,AFT,Not Applic,Other/Not Applicable,,,
AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1,AF4,Not Applic,Other/Not Applicable,,,
AFG 2025-1 TRUST IN RESPECT OF SERIES 2025-1,AF6,Not Applic,Other/Not Applicable,,,
AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC,AF5,Not Applic,Other/Not Applicable,,,
AFRICAN GOLD LTD.,A1G,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AFT PHARMACEUTICALS LIMITED,AFP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
AGL ENERGY LIMITED.,AGL,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
AGRIMIN LIMITED,AMN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AGUIA RESOURCES LIMITED,AGR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AI-MEDIA TECHNOLOGIES LIMITED,AIM,Software & Services,IT Services; Software,,,
AIC MINES LIMITED,A1M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AIMS PROPERTY SECURITIES FUND,APW,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
AINSWORTH GAME TECHNOLOGY LIMITED,AGI,Consumer Services,"Hotels, Restaurants & Leisure",,,
AIR NEW ZEALAND LIMITED,AIZ,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
AIRTASKER LIMITED,ART,Media & Entertainment,Media; Entertainment,,,
AJ LUCAS GROUP LIMITED,AJL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
AKORA RESOURCES LIMITED,AKO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALAND EQUITY GROUP LIMITED,AEG,Financial Services,Diversified Financials; Capital Markets,,,
ALARA RESOURCES LIMITED,AUQ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALBION RESOURCES LIMITED,ALB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALBRIGHT METALS LTD,ABR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALCHEMY RESOURCES LIMITED,ALY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALCIDION GROUP LIMITED,ALC,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ALCOA CORPORATION,AAI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALDORO RESOURCES LIMITED,ARN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALFABS AUSTRALIA LIMITED,AAL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ALGORAE PHARMACEUTICALS LIMITED,1AI,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ALICANTO MINERALS LIMITED,AQI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALICE QUEEN LIMITED,AQX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALKANE RESOURCES LIMITED,ALK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALLIANCE AVIATION SERVICES LIMITED,AQZ,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
ALLIANCE NICKEL LIMITED,AXN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALLIED CREDIT ABS TRUST 2025-1P,AC2,Not Applic,Other/Not Applicable,,,
ALLIED CREDIT ABS TRUST 2025-2,AC3,Not Applic,Other/Not Applicable,,,
ALLIGATOR ENERGY LIMITED,AGE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ALMA METALS LIMITED,ALM,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ALMONTY INDUSTRIES INC.,AII,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALPHA HPA LIMITED,A4N,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALS LIMITED,ALQ,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
ALTAIR MINERALS LIMITED,ALR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALTAMIN LIMITED,AZI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALTECH BATTERIES LTD,ATC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALTERITY THERAPEUTICS LIMITED,ATH,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ALTERNATIVE INVESTMENT TRUST,AIQ,Not Applic,Other/Not Applicable,,,
ALTITUDE MINERALS LTD,ATT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ALVO MINERALS LIMITED,ALV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AMA GROUP LIMITED,AMA,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
AMAERO LTD,3DA,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
AMBERTECH LIMITED,AMO,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
AMCIL LIMITED,AMH,Not Applic,Other/Not Applicable,,,
AMCOR PLC,AMC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AMERICAN RARE EARTHS LIMITED,ARR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AMERICAN TUNGSTEN & ANTIMONY LTD,AT4,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AMERICAN URANIUM LTD,AMU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AMERICAN WEST METALS LIMITED,AW1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AML3D LIMITED,AL3,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
AMOTIV LIMITED,AOV,Automobiles & Components,Auto Components; Automobiles,,,
AMP LIMITED,AMP,Financial Services,Diversified Financials; Capital Markets,,,
AMPLIA THERAPEUTICS LIMITED,ATX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
AMPLITUDE ENERGY LIMITED,AEL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
AMPOL LIMITED,ALD,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ANAGENICS LIMITED,AN1,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ANATARA LIFESCIENCES LTD,ANR,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ANAX METALS LIMITED,ANX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ANDEAN SILVER LIMITED,ASL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ANDROMEDA METALS LIMITED,ADN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ANEKA TAMBANG (PERSERO) TBK (PT),ATM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ANGLE ASSET FINANCE - RADIAN TRUST 2025-1,AF2,Not Applic,Other/Not Applicable,,,
ANGLE ASSET FINANCE - RADIAN TRUST 2025-2,AF7,Not Applic,Other/Not Applicable,,,
ANSELL LIMITED,ANN,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ANSON RESOURCES LIMITED,ASN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ANTARES METALS LIMITED,AM5,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ANTEOTECH LTD,ADO,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ANTERIS TECHNOLOGIES GLOBAL CORP.,AVR,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ANTILLES GOLD LIMITED,AAU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ANTIPA MINERALS LIMITED,AZY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
APA GROUP,APA,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
APA INFRASTRUCTURE LIMITED,AP2,Not Applic,Other/Not Applicable,,,
APC MINERALS LIMITED,APC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
APOLLO MINERALS LIMITED,AON,Materials,Chemicals; Construction Materials; Metals & Mining,,,
APOLLO SERIES 2017-2 TRUST,AO2,Not Applic,Other/Not Applicable,,,
APOLLO SERIES 2018-1 TRUST,AO3,Not Applic,Other/Not Applicable,,,
APPEN LIMITED,APX,Software & Services,IT Services; Software,,,
AQUIRIAN LIMITED,AQN,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
ARAFURA RARE EARTHS LTD,ARU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARB CORPORATION LIMITED.,ARB,Automobiles & Components,Auto Components; Automobiles,,,
ARC FUNDS LIMITED,ARC,Financial Services,Diversified Financials; Capital Markets,,,
ARCADIA MINERALS LIMITED,AM7,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARCHER MATERIALS LIMITED,AXE,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,
ARCHTIS LIMITED,AR9,Software & Services,IT Services; Software,,,
ARDEA RESOURCES LIMITED,ARL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARDIDEN LTD,ADV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARENA REIT.,ARF,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
ARGENICA THERAPEUTICS LIMITED,AGN,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ARGENT BIOPHARMA LIMITED,RGT,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ARGENT MINERALS LIMITED,ARD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,ALI,Not Applic,Other/Not Applicable,,,
ARGO INVESTMENTS LIMITED,ARG,Not Applic,Other/Not Applicable,,,
ARGOSY MINERALS LIMITED,AGY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARIADNE AUSTRALIA LIMITED,ARA,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
ARIANA RESOURCES PLC,AA2,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARIKA RESOURCES LIMITED,ARI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARK MINES LIMITED,AHK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARN MEDIA LIMITED,A1N,Media & Entertainment,Media; Entertainment,,,
AROA BIOSURGERY LIMITED,ARX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
AROVELLA THERAPEUTICS LIMITED,ALA,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ARROW MINERALS LTD,AMD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARTEMIS RESOURCES LIMITED,ARV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ARTICORE GROUP LIMITED,ATG,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
ARTRYA LIMITED,AYA,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ARUMA RESOURCES LIMITED,AAJ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ASARA RESOURCES LIMITED,AS1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ASF GROUP LIMITED,AFA,Financial Services,Diversified Financials; Capital Markets,,,
ASHLEY SERVICES GROUP LIMITED,ASH,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
ASIAN BATTERY METALS PLC,AZ9,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ASIAN DEVELOPMENT BANK,ATB,Not Applic,Other/Not Applicable,,,
ASKARI METALS LIMITED,AS2,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ASPEN GROUP,APZ,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
ASPERMONT LIMITED.,ASP,Media & Entertainment,Media; Entertainment,,,
ASPIRE MINING LIMITED,AKM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ASSET VISION CO LTD,ASV,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
ASSOCIATE GLOBAL PARTNERS LIMITED,APL,Financial Services,Diversified Financials; Capital Markets,,,
ASTRAL RESOURCES NL,AAR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ASTRON LIMITED,ATR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ASX LIMITED,ASX,Financial Services,Diversified Financials; Capital Markets,,,
ATHENA RESOURCES LIMITED,AHN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ATLANTIC LITHIUM LIMITED,A11,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ATLAS ARTERIA,ALX,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
ATLAS PEARLS LTD,ATP,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
ATOMIC EAGLE LTD,AEU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ATOMO DIAGNOSTICS LIMITED,AT1,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ATOMOS LIMITED,AMS,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
ATTURRA LIMITED,ATA,Software & Services,IT Services; Software,,,
AUB GROUP LIMITED,AUB,Insurance,Insurance,,,
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
AUCYBER LIMITED,CYB,Software & Services,IT Services; Software,,,
AUDALIA RESOURCES LIMITED,ACP,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUDEARA LIMITED,AUA,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
AUDINATE GROUP LIMITED,AD8,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
AUGUSTUS MINERALS LIMITED,AUG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUKING MINING LIMITED,AKN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUMEGA METALS LTD,AAM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AURA ENERGY LIMITED,AEE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
AURAVELLE METALS LIMITED,AUV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUREKA LIMITED,AKA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AURELIA METALS LIMITED,AMI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AURIC MINING LIMITED,AWJ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AURIS MINERALS LIMITED,AUR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AURIZON HOLDINGS LIMITED,AZJ,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
AURORA ENERGY METALS LIMITED,1AE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AURORA LABS LIMITED,A3D,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
AURUM RESOURCES LIMITED,AUE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSGOLD LIMITED,AUC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSMON RESOURCES LIMITED,AOA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSNET SERVICES HOLDINGS PTY LTD,ANV,Not Applic,Other/Not Applicable,,,
AUSQUEST LIMITED,AQD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSSIE BROADBAND LIMITED,ABB,Telecommunication Services,Diversified Telecommunication Services,,,
AUSTAL LIMITED,ASB,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
AUSTCO HEALTHCARE LIMITED,AHC,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
AUSTIN ENGINEERING LIMITED,ANG,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
AUSTIN METALS LIMITED,AYT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRAL GOLD LIMITED,AGD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRAL RESOURCES AUSTRALIA LTD,AR1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALASIAN METALS LIMITED,A8G,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.,AN3,Not Applic,Other/Not Applicable,,,
AUSTRALIA UNITED MINING LIMITED,AYM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,AAP,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,ABE,Financial Services,Diversified Financials; Capital Markets,,,
AUSTRALIAN CLINICAL LABS LIMITED,ACL,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,XCL,Not Applic,Other/Not Applicable,,,
AUSTRALIAN CRITICAL MINERALS LIMITED,ACM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN DAIRY NUTRITIONALS LIMITED,AHF,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF,Financial Services,Diversified Financials; Capital Markets,,,
AUSTRALIAN FINANCE GROUP LTD,AFG,Financial Services,Diversified Financials; Capital Markets,,,
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI,Not Applic,Other/Not Applicable,,,
AUSTRALIAN GOLD AND COPPER LTD,AGC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN MINES LIMITED,AUZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN OIL COMPANY LIMITED.,AOK,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
AUSTRALIAN PACIFIC COAL LIMITED,AQC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN RARE EARTHS LIMITED,AR3,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN SILICA QUARTZ GROUP LTD,ASQ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN STRATEGIC MATERIALS LIMITED,ASM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI,Not Applic,Other/Not Applicable,,,
AUSTRALIAN UNITY LIMITED,AYU,Not Applic,Other/Not Applicable,,,
AUSTRALIAN UNITY OFFICE FUND,AOF,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
AUSTRALIAN VANADIUM LIMITED,AVL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AUSTRALIAN VINTAGE LTD,AVG,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
